continent,location,total_cases,total_deaths,fully_vaccinated,population,gdp_per_capita,cases_per_million,deaths_per_million,fully_vaccinated_per_million
Asia,Afghanistan,202116,7818,296731653,40099462,1803.987,5040.3669,194.9652,7399891.1257
Europe,Albania,332772,3592,151182082,2854710,11803.431,116569.4589,1258.2714,52958823.1379
Africa,Algeria,270783,6881,118139940,44177969,13913.839,6129.3673,155.7564,2674182.2378
Africa,Angola,103131,1920,225839276,34503774,5819.495,2988.9774,55.6461,6545349.9666
"North America","Antigua and Barbuda",9108,146,3180454,93220,21490.943,97704.3553,1566.1875,34117721.5190
"South America",Argentina,9717546,129979,14912305323,45276780,18933.907,214625.3775,2870.7651,329358786.6231
Asia,Armenia,444869,8708,18970719,2790974,8787.58,159395.6088,3120.0577,6797167.9421
"North America",Aruba,44145,292,29489780,106536,35973.781,414366.9745,2740.8576,276805774.5739
Oceania,Australia,10373177,15221,7097780768,25921089,44648.71,400182.9167,587.2053,273822630.2143
Europe,Austria,5400765,21004,1344930435,8922082,45436.686,605325.6404,2354.1590,150741770.2505
Asia,Azerbaijan,822979,9937,1369509333,10312992,15847.419,79800.2170,963.5419,132794569.5100
"North America",Bahamas,37390,833,5662904,407906,27717.847,91663.2754,2042.1372,13882865.1699
Asia,Bahrain,687591,1524,501677909,1463265,43290.705,469901.8975,1041.5065,342848294.0547
Asia,Bangladesh,2034141,29413,12689345573,169356251,3523.984,12011.0181,173.6753,74926939.5022
"North America",Barbados,103014,560,57709827,281200,16978.068,366337.1266,1991.4651,205226980.7966
Europe,Belarus,994037,7118,170845079,9578168,17167.967,103781.5373,743.1484,17836926.5396
Europe,Belgium,4602438,32963,4294570504,11611420,42658.576,396371.6755,2838.8431,369857476.8633
"North America",Belize,68926,691,13346875,400031,7824.362,172301.6466,1727.3661,33364601.7434
Africa,Benin,27991,163,36489326,12996895,2064.236,2153.6682,12.5415,2807541.8013
"North America",Bermuda,18340,148,1973826,64185,50669.315,285736.5428,2305.8347,30752138.3501
Asia,Bhutan,62248,21,33145948,777486,8708.597,80063.1780,27.0101,42632212.0270
"South America",Bolivia,1109238,22239,2212783307,12079472,6885.829,91828.3514,1841.0573,183185432.8567
Europe,"Bosnia and Herzegovina",399663,16187,6182724,3270943,11713.895,122185.8651,4948.7258,1890196.1911
Africa,Botswana,326344,2790,22368854,2588423,15807.374,126078.3110,1077.8764,8641885.0397
"South America",Brazil,34675516,687610,56694028582,214326223,14103.452,161788.4901,3208.2402,264522127.9433
Asia,Brunei,234600,225,30392788,445373,71809.251,526749.4886,505.1945,68241200.0727
Europe,Bulgaria,1274336,37821,772244095,6885868,18563.307,185065.4122,5492.5537,112149128.4759
Africa,"Burkina Faso",21631,387,28624055,22100683,1703.102,978.7480,17.5108,1295166.0815
Africa,Burundi,50413,38,333853,12551213,702.225,4016.5839,3.0276,26599.2618
Asia,Cambodia,137979,3056,3657871248,16589023,3645.07,8317.4880,184.2182,220499498.2525
Africa,Cameroon,121652,1935,23884228,27198628,3364.926,4472.7256,71.1433,878140.9121
"North America",Canada,4361808,46592,13760848519,38155012,44017.591,114318.0875,1221.1240,360656380.3204
Africa,"Cape Verde",62397,411,10557270,587925,6222.554,106130.8840,699.0688,17956831.2285
"North America","Cayman Islands",30926,35,4863015,68136,49903.029,453886.3450,513.6785,71372182.1064
Africa,"Central African Republic",15151,113,24987851,5457154,661.24,2776.3556,20.7068,4578916.2263
Africa,Chad,7613,193,24916573,17179740,1768.153,443.1383,11.2342,1450346.3382
"South America",Chile,4715098,49258,8463573409,19493184,22767.037,241884.4454,2526.9345,434181168.6074
Asia,China,1019502,3924,62920888000,1425893464,15308.712,714.9917,2.7520,44127341.6202
"South America",Colombia,6309168,141827,5397108005,51516562,13254.949,122468.7315,2753.0370,104764522.2327
Africa,Comoros,8481,163,5321191,821626,1413.89,10322.2147,198.3871,6476415.0599
Africa,Congo,24837,417,5108074,5835806,4881.406,4255.9674,71.4554,875298.8019
"North America","Costa Rica",1130568,8986,177261934,5153957,15524.995,219359.2224,1743.5147,34393366.8830
Africa,"Cote d'Ivoire",87734,827,107912931,27478249,3601.006,3192.8526,30.0965,3927212.7929
Europe,Croatia,1244642,17076,750179887,4060135,22669.797,306551.8757,4205.7715,184767227.4444
