MAX(vax.record_date),location,population,total_vaxed
2022-10-23,Afghanistan,40099462,11012345
2022-10-23,Albania,2854710,1339100
2022-10-23,Algeria,44177969,7840131
2022-10-23,Andorra,79034,57898
2022-10-23,Angola,34503774,14220830
2022-10-23,Anguilla,15753,10852
2022-10-23,"Antigua and Barbuda",93220,64290
2022-10-23,Argentina,45276780,41340885
2022-10-23,Armenia,2790974,1129669
2022-10-23,Aruba,106536,89924
2022-10-23,Australia,25921089,22443557
2022-10-23,Austria,8922082,6890589
2022-10-23,Azerbaijan,10312992,5373253
2022-10-23,Bahamas,407906,173529
2022-10-23,Bahrain,1463265,1240835
2022-10-23,Bangladesh,169356251,136464240
2022-10-23,Barbados,281200,163707
2022-10-23,Belarus,9578168,6512843
2022-10-23,Belgium,11611420,9259345
2022-10-23,Belize,400031,251332
2022-10-23,Benin,12996895,3207032
2022-10-23,Bermuda,64185,48554
2022-10-23,Bhutan,777486,698881
2022-10-23,Bolivia,12079472,7361008
2022-10-23,"Bonaire Sint Eustatius and Saba",26706,19109
2022-10-23,"Bosnia and Herzegovina",3270943,943394
2022-10-23,Botswana,2588423,1589621
2022-10-23,Brazil,214326223,187385670
2022-10-23,"British Virgin Islands",31122,19466
2022-10-23,Brunei,445373,450060
2022-10-23,Bulgaria,6885868,2103303
2022-10-23,"Burkina Faso",22100683,3079151
2022-10-23,Burundi,12551213,22314
2022-10-23,Cambodia,16589023,15201762
2022-10-23,Cameroon,27198628,1615128
2022-10-23,Canada,38155012,33625594
2022-10-23,"Cape Verde",587925,356734
2022-10-23,"Cayman Islands",68136,61787
2022-10-23,"Central African Republic",5457154,1667260
2022-10-23,Chad,17179740,3879297
2022-10-23,Chile,19493184,18074097
2022-10-23,China,1425893464,1302773000
2022-10-23,Colombia,51516562,42804486
2022-10-23,Comoros,821626,438825
2022-10-23,Congo,5835806,695760
2022-10-23,"Cook Islands",17003,15033
2022-10-23,"Costa Rica",5153957,4480428
2022-10-23,"Cote d'Ivoire",27478249,10721755
2022-10-23,Croatia,4060135,2319198
2022-10-23,Cuba,11256372,10708529
2022-10-23,Curacao,190338,108539
2022-10-23,Cyprus,896007,669939
2022-10-23,Czechia,10510750,6975799
2022-10-23,"Democratic Republic of Congo",95894118,5596451
2022-10-23,Denmark,5854240,4809681
2022-10-23,Djibouti,1105557,247171
2022-10-23,Dominica,72412,32995
2022-10-23,"Dominican Republic",11117874,7288147
2022-10-23,Ecuador,17797737,15237333
2022-10-23,Egypt,109262178,52995443
2022-10-23,"El Salvador",6314167,4652597
2022-10-19,England,56550000,45300652
2022-10-23,"Equatorial Guinea",1634466,270109
2022-10-23,Eritrea,3620312,NULL
2022-10-23,Estonia,1328701,867449
2022-10-23,Eswatini,1192271,492300
2022-10-23,Ethiopia,120283026,43111242
2022-10-23,"Faeroe Islands",52888,41715
2022-10-23,"Falkland Islands",3764,2632
2022-10-23,Fiji,924610,710476
2022-10-23,Finland,5535992,4522291
2022-10-23,France,67422000,54583292
2022-10-23,"French Polynesia",304032,190951
2022-10-23,Gabon,2341179,310579
2022-10-23,Gambia,2639916,452514
2022-10-23,Georgia,3757980,1654504
2022-10-23,Germany,83408554,64797371
2022-10-23,Ghana,32833031,11753461
2022-10-23,Gibraltar,32670,42074
2022-10-23,Greece,10445365,7929624
2022-10-23,Greenland,56243,41243
2022-10-23,Grenada,124610,44093
2022-06-18,Guam,170534,NULL
2022-10-23,Guatemala,17608483,8827945
2022-07-12,Guernsey,63065,54146
2022-10-23,Guinea,13531906,5194582
2022-10-23,Guinea-Bissau,2060721,640393
2022-10-23,Guyana,804567,485891
