record_date,location,total_vaccinations,previous_total_vaxed,total_vaxed,people_fully_vaccinated,new_vaccinations
2020-01-22,World,NULL,NULL,NULL,NULL,NULL
2020-01-23,World,NULL,NULL,NULL,NULL,NULL
2020-01-24,World,NULL,NULL,NULL,NULL,NULL
2020-01-25,World,NULL,NULL,NULL,NULL,NULL
2020-01-26,World,NULL,NULL,NULL,NULL,NULL
2020-01-27,World,NULL,NULL,NULL,NULL,NULL
2020-01-28,World,NULL,NULL,NULL,NULL,NULL
2020-01-29,World,NULL,NULL,NULL,NULL,NULL
2020-01-30,World,NULL,NULL,NULL,NULL,NULL
2020-01-31,World,NULL,NULL,NULL,NULL,NULL
2020-02-01,World,NULL,NULL,NULL,NULL,NULL
2020-02-02,World,NULL,NULL,NULL,NULL,NULL
2020-02-03,World,NULL,NULL,NULL,NULL,NULL
2020-02-04,World,NULL,NULL,NULL,NULL,NULL
2020-02-05,World,NULL,NULL,NULL,NULL,NULL
2020-02-06,World,NULL,NULL,NULL,NULL,NULL
2020-02-07,World,NULL,NULL,NULL,NULL,NULL
2020-02-08,World,NULL,NULL,NULL,NULL,NULL
2020-02-09,World,NULL,NULL,NULL,NULL,NULL
2020-02-10,World,NULL,NULL,NULL,NULL,NULL
2020-02-11,World,NULL,NULL,NULL,NULL,NULL
2020-02-12,World,NULL,NULL,NULL,NULL,NULL
2020-02-13,World,NULL,NULL,NULL,NULL,NULL
2020-02-14,World,NULL,NULL,NULL,NULL,NULL
2020-02-15,World,NULL,NULL,NULL,NULL,NULL
2020-02-16,World,NULL,NULL,NULL,NULL,NULL
2020-02-17,World,NULL,NULL,NULL,NULL,NULL
2020-02-18,World,NULL,NULL,NULL,NULL,NULL
2020-02-19,World,NULL,NULL,NULL,NULL,NULL
2020-02-20,World,NULL,NULL,NULL,NULL,NULL
2020-02-21,World,NULL,NULL,NULL,NULL,NULL
2020-02-22,World,NULL,NULL,NULL,NULL,NULL
2020-02-23,World,NULL,NULL,NULL,NULL,NULL
2020-02-24,World,NULL,NULL,NULL,NULL,NULL
2020-02-25,World,NULL,NULL,NULL,NULL,NULL
2020-02-26,World,NULL,NULL,NULL,NULL,NULL
2020-02-27,World,NULL,NULL,NULL,NULL,NULL
2020-02-28,World,NULL,NULL,NULL,NULL,NULL
2020-02-29,World,NULL,NULL,NULL,NULL,NULL
2020-03-01,World,NULL,NULL,NULL,NULL,NULL
2020-03-02,World,NULL,NULL,NULL,NULL,NULL
2020-03-03,World,NULL,NULL,NULL,NULL,NULL
2020-03-04,World,NULL,NULL,NULL,NULL,NULL
2020-03-05,World,NULL,NULL,NULL,NULL,NULL
2020-03-06,World,NULL,NULL,NULL,NULL,NULL
2020-03-07,World,NULL,NULL,NULL,NULL,NULL
2020-03-08,World,NULL,NULL,NULL,NULL,NULL
2020-03-09,World,NULL,NULL,NULL,NULL,NULL
2020-03-10,World,NULL,NULL,NULL,NULL,NULL
2020-03-11,World,NULL,NULL,NULL,NULL,NULL
2020-03-12,World,NULL,NULL,NULL,NULL,NULL
2020-03-13,World,NULL,NULL,NULL,NULL,NULL
2020-03-14,World,NULL,NULL,NULL,NULL,NULL
2020-03-15,World,NULL,NULL,NULL,NULL,NULL
2020-03-16,World,NULL,NULL,NULL,NULL,NULL
2020-03-17,World,NULL,NULL,NULL,NULL,NULL
2020-03-18,World,NULL,NULL,NULL,NULL,NULL
2020-03-19,World,NULL,NULL,NULL,NULL,NULL
2020-03-20,World,NULL,NULL,NULL,NULL,NULL
2020-03-21,World,NULL,NULL,NULL,NULL,NULL
2020-03-22,World,NULL,NULL,NULL,NULL,NULL
2020-03-23,World,NULL,NULL,NULL,NULL,NULL
2020-03-24,World,NULL,NULL,NULL,NULL,NULL
2020-03-25,World,NULL,NULL,NULL,NULL,NULL
2020-03-26,World,NULL,NULL,NULL,NULL,NULL
2020-03-27,World,NULL,NULL,NULL,NULL,NULL
2020-03-28,World,NULL,NULL,NULL,NULL,NULL
2020-03-29,World,NULL,NULL,NULL,NULL,NULL
2020-03-30,World,NULL,NULL,NULL,NULL,NULL
2020-03-31,World,NULL,NULL,NULL,NULL,NULL
2020-04-01,World,NULL,NULL,NULL,NULL,NULL
2020-04-02,World,NULL,NULL,NULL,NULL,NULL
2020-04-03,World,NULL,NULL,NULL,NULL,NULL
2020-04-04,World,NULL,NULL,NULL,NULL,NULL
2020-04-05,World,NULL,NULL,NULL,NULL,NULL
2020-04-06,World,NULL,NULL,NULL,NULL,NULL
2020-04-07,World,NULL,NULL,NULL,NULL,NULL
2020-04-08,World,NULL,NULL,NULL,NULL,NULL
2020-04-09,World,NULL,NULL,NULL,NULL,NULL
2020-04-10,World,NULL,NULL,NULL,NULL,NULL
2020-04-11,World,NULL,NULL,NULL,NULL,NULL
2020-04-12,World,NULL,NULL,NULL,NULL,NULL
2020-04-13,World,NULL,NULL,NULL,NULL,NULL
2020-04-14,World,NULL,NULL,NULL,NULL,NULL
2020-04-15,World,NULL,NULL,NULL,NULL,NULL
2020-04-16,World,NULL,NULL,NULL,NULL,NULL
2020-04-17,World,NULL,NULL,NULL,NULL,NULL
2020-04-18,World,NULL,NULL,NULL,NULL,NULL
2020-04-19,World,NULL,NULL,NULL,NULL,NULL
2020-04-20,World,NULL,NULL,NULL,NULL,NULL
2020-04-21,World,NULL,NULL,NULL,NULL,NULL
2020-04-22,World,NULL,NULL,NULL,NULL,NULL
2020-04-23,World,NULL,NULL,NULL,NULL,NULL
2020-04-24,World,NULL,NULL,NULL,NULL,NULL
2020-04-25,World,NULL,NULL,NULL,NULL,NULL
2020-04-26,World,NULL,NULL,NULL,NULL,NULL
2020-04-27,World,NULL,NULL,NULL,NULL,NULL
2020-04-28,World,NULL,NULL,NULL,NULL,NULL
2020-04-29,World,NULL,NULL,NULL,NULL,NULL
2020-04-30,World,NULL,NULL,NULL,NULL,NULL
